type,nom,ouverture,fermeture et précisions,lieu,adresse,x,y,capacité,Nombre d'ESI placés,"Durée moyenne de la rétention
(en jours)","Taux d'éloignement
(en %)",Trois principales nationalités des ESI placésen ,,total_retenus_2003,total_retenus_2004,total_retenus_2005,total_retenus_2006,,total_retenus_2007,total_retenus_2008,total_retenus_2009,total_retenus_2010,total_retenus_2011,total_retenus_2012,total_retenus_2013,total_retenus_2014,total_retenus_2015,total_retenus_2016,total_retenus_2017,total_retenus_2018,total_retenus_2019,,,total_retenus_2020,total_retenus_2021,total_retenus_2022,total_retenus_2023,total_retenus_2024
LRA,Locaux de Rétention Administrative de Modane,2003,,Modane,"1 Place Sommeiller, 73500 Modane",45.19367218017578,6.658681392669678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Nanterre,2005,,Nanterre,167-177 avenue Joliot Curie - 92000 NANTERRE ,48.8926992,2.2102765,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de l’aéroport Nice-Côte-d’Azur,temporaire dans le poste de la DCPAF du terminal 2,,aéroport Nice-Côte-d’Azur,"Rue Costes et Bellonte, 06200 Nice",43.6679037,7.2115654,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Pamandzi (Mayotte),2023,,Pamandzi (Mayotte),"Route du lotissement Chanfi Sabili, le Petit Moya 97 610 PAMANDZI",-12.79674,45.27938,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Pontarlier,2024,,Pontarlier,"16 Rocade Georges Pompidou, 25300 Pontarlier",46.9012469,6.3547012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Ruaudin,2023,,Ruaudin," Hôtel Ashley, 27 Bd Robert Jarry, 72000 Le Mans",47.9961921,0.1925077,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Rivesaltes,,déplacé en 2007-2009,Rivesaltes,"2 Av. Gustave Eiffel, 66600 Rivesaltes",42.7767,2.8367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de La Rochelle,2021,,La Rochelle,"1 Rue de la Marne, 17000 La Rochelle",46.1685726,-1.1469948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Saint-Dizier,2022,,Saint-Dizier,5 rue du Brigadier-Albert 52100 Saint-Dizier,48.639732360839844, 4.962185382843018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Saint-Louis,2001,,Saint-Louis,Rue de Lys 3 - 68300 Saint-Louis,47.5895753,7.5600901,6h 3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Savigny-sur-Orge,2024,,Savigny-sur-Orge,"1 Pl. Régis Ryckebush, 91600 Savigny-sur-Orge",48.69228043752301,2.3377128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Soissons,2001,,Soissons,19 rue Paul-Deviolaine 02209 Soissons,49.38569,3.322992,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Tourcoing,2019,,Tourcoing,"Hôtel de police, 49 Avenue de la Fin de la Guerre, 59200 Tourcoing",50.7270776,3.1486185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Tours,2004,,Tours,"Commissariat Principal de Police de Tours, 70 rue Marceau - 37000 Tour",50.72736,3.14916,4h 2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Trégueux,non permanent,dans hôtels,Trégueux,"Kyriad Direct Saint Brieuc - Parc des Expositions, 52 Rue du Gué Lambert, 22950 Trégueux",48.4941283,-2.7646644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Troyes,2023,,Troyes,"18 Rue des Gayettes, 10000 Troyes ",48.2895505,4.0732198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Cayenne-Rochambeau ,2007,,Cayenne (Guyane),Route nationale 4 - 97351 Matoury,3.842332,-53.184814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Chessy,2002,,Chessy,"Commissariat de Chessy, Rue du Grand Secours, 77700 Chessy",48.8613084,2.7854366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative d’Amiens,non permanent,dans hôtels,Amiens,11 rue du Marché Lanselle 80000 Amiens France,49.895736,2.297742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative d’Orléans-Cercottes,2005,,Orléans-Cercottes,23 route de Paris - 45520 Cercottes,47.9765922,1.8849385,74h 24f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Poitiers,2001,,Poitiers,"38 Rue de la Marne, 86000 Poitiers",46.581892,0.338223,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Reims,2005,,Reims,"Hôtel de police - 40, Boulevard Louis Roederer - 51100 REIMS",49.256176,4.021882,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
